,gen_summary,ref_summary,full_text
0,"В Белоруссии задержали четверых экстремистов, которые устроили серию нападений и поджогов на органы госвласти республики и пытались сбежать обратно на украинскую территорию. По словам официального представителя Госпогранкомитета Антона Бычковского, у задержанных были найдены две единицы огнестрельного оружия с боеприпасами, холодное оружие и баллончики с перцовым газом, палатки, саперная лопата, топор, фонари.","Белорусские пограничники задержали четверых экстремистов, которые устроили серию нападений и поджогов на органы госвласти и пытались сбежать обратно на Украину. Среди них — ранее судимый Игорь Олиневич, один из лидеров анархистских движений в Белоруссии, придерживающийся идей революционера Петра Кропоткина. У задержанных нашли огнестрельное оружие, гранату, планшеты, GPS-трекеры, множество предметов специальной экипировки.","Сотрудники Госпогранкомитета Белоруссии задержали около границы с Украиной четверых экстремистов, которые устроили серию нападений и поджогов на органы госвласти республики и пытались сбежать обратно на украинскую территорию. Белорусское Общенациональное телевидение сообщает имена преступников: Игорь Олиневич, Дмитрий Дубовский, Резанович Д.Г. и Романов С.А. Известно, что они придерживаются идей революционера-анархиста Петра Кропоткина. Как пишут белорусские СМИ, активистов местных радикальных движений вдохновляют на экстремизм такие крупные и имеющие влияние украинские анархистские организации, как «Революцiйна Дiя», «Автономный опiр», «Черная радуга». По словам официального представителя белорусского Госпогранкомитета Антона Бычковского, операция по поимке злоумышленников была проведена 28 октября около населенного пункта Забозье Ельского района Гомельской области, передает БелТА. Бычковский добавил, что задержанные являются сторонниками анархистских движений. После их поимки маневренной группой Мозырского пограничного отряда у задержанных было найдено «две единицы огнестрельного оружия с боеприпасами, боевая ручная граната, травматический пистолет с патронами, холодное оружие и баллончики с перцовым газом, форма и рюкзаки военного образца, палатки, саперная лопата, топор, фонари». Также у них были ноутбуки, планшеты, GPS-трекеры, видеорегистраторы, фотокамера, флеш-накопители, SIM-карта украинского сотового оператора, средства радиосвязи с гарнитурами скрытого ношения, другая специальная экипировка и снаряжение, продукты питания, банковские карты и деньги в нескольких валютах. В середине нынешней недели эта группа подожгла здание ГАИ в Мозыре. Ранее они организовали нападение на здание управления Государственного комитета су"
1,"Эксперты отмечают, что в преддверии выборов рынки будет штормить. По данным МВФ, ВВП США сократится на 4,3%.","3 ноября в США пройдут выборы. Новому президенту страны предстоит восстанавливать крупнейшую экономику мира после серьезного удара пандемии коронавируса, которая еще не закончилась. Эксперты считают, что важно не имя того, кто станет главой Белого дома, а комбинация президента и сената, поскольку любой раскол может стать риском для мировой экономики.","Пандемия коронавируса нанесла сильнейший за последние годы удар по экономике США. По последнему прогнозу Международного Валютного Фонда ( МВФ ), ВВП США по итогам 2020 года сократится на 4,3%. По этой же причине до 30 млн американцев остались без работы. Республиканцы и демократы так и не пришли к общему решению, какие меры по стимулированию экономики принять до выборов, количество зараженных в сутки продолжает расти, что лишь добавляет неопределенности в экономике. Официально президент вступит в должность в январе 2021 года, но уже 3 ноября, когда в США начнется голосование, будет понятно, кому из кандидатов отдано предпочтение. Во многом показательным будет голосование в штате Техас, который в прошлый раз подарил голоса Дональду Трампу, отмечает исполнительный директор департамента рынка капиталов ИК «Универ Капитал» Артем Тузов. Он предупреждает, что в преддверии выборов рынки будет штормить, и вне зависимости от того, какого кандидата выберут американцы, стране предстоит довольно длительное восстановление, пока не будет разработано эффективное средство от коронавируса. США по-прежнему остаются главной экономикой в мире, а значит от того, что будет происходить с ней, во многом будет зависеть и ситуация во всех остальных странах, обращает внимание эксперт информационно-аналитического центра компании Hamilton Антон Гринштейн. Если говорить о том, как «экономически» воспринимается победа того или иного кандидата в президенты США, то переизбрание Дональда Трампа выглядит более предпочтительно в сравнении с Джо Байденом. Эксперт объясняет основные различия программ кандидатов: Трамп обещает снижение налогов, Байден, напротив, не раз говорил об их повышении, хотя и «откатил» многие свои заявления по налогово-бюджетной политике в сторону более мягкого варианта. Трамп"
2,"По данным СМИ, мужчина выстрелил из обреза охотничьего ружья в живот 52-летнему священнику Греческой православной церкви в Лионе. Пострадавший находится в тяжелом состоянии в местной больнице. Врачи бьются за его жизнь.","Во Франции произошло очередное нападение на христианского священника — неизвестный дважды выстрелил из обреза охотничьего ружья в живот 52-летнему протоиерею Греческой православной церкви Благовещения в Лионе. Пострадавший находится в тяжелом состоянии в больнице, как минимум одна пуля попала ему в печень. Врачи бьются за его жизнь. Нападавший успел скрыться, однако спустя несколько часов его удалось задержать.","Неизвестный мужчина дважды выстрелил из обреза охотничьего ружья в живот 52-летнему священнику Греческой православной церкви 31 октября во французском городе Лион. Нападение произошло около 16.00 (18.00 мск), когда священник закрывал двери церкви. После выстрелов нападавший скрылся. Пострадавший протоиерей находится в тяжелом состоянии в местной больнице, как минимум одна пуля попала ему в печень. Врачи бьются за его жизнь, сообщает Le Parisien. По словам источника в полиции, раненый находится в сознании, он рассказал, что видел лицо нападавшего — это был не знакомый ему человек лет 40. Правоохранительным органам Франции удалось разыскать подозреваемого в нападении на священника Греческой православной церкви в Лионе в субботу вечером, сообщает местное издание LyonMag. По данным СМИ, мужчина был задержан в третьем округе Лиона. Офицеры французской полиции заблокировали прилегающую к церкви территорию и велели людям держаться подальше, сообщает Sky News. В Twitter посольство Великобритании во Франции опубликовало предупреждение о «продолжающихся мероприятиях, касающихся безопасности» в районе Жан-Масе 7-го округа Лиона. Национальная антитеррористическая прокуратура (PNAT) заявила, что изучает все обстоятельства преступления, прежде чем принять решение о том, какую версию нападения принять за приоритетную. Мэр Лиона Грегори Дусе отметил, что мотивы нападения неясны. Министр внутренних дел Франции Жеральд Дарманен сообщил, что возвращается в Париж и организовывает кризисный штаб вместе с президентом страны Эммануэлем Макроном и премьер-министром Жаном Кастексом. Мэр 7-го округа Лиона Фанни Дюбо заявила, что после теракта в Ницце «меры безопасности были усилены» и в ее округе, но она «не знает о конкретных мерах,"
3,"По словам экс-премьера Грузии Михаила Саакашвили, он займет пост премьера страны после победы оппозиционного объединения «Сила в единстве» во главе с Единым национальным движением.","Михаил Саакашвили отказался от поста премьер-министра Грузии, несмотря на то что его партия Единое национальное движение выиграла парламентские выборы (по данным экзит-полла IPSOS-Франция). Ранее политик заверял, что не будет вступать в конфронтацию с Россией в случае победы ЕНД.","Бывший президент Грузии Михаил Саакашвили опроверг информацию о том, что он займет пост премьер-министра страны после победы оппозиционного объединения «Сила в единстве» во главе с Единым национальным движением, намеревавшимся выдвинуть именно Саакашвили на пост премьера. На прошедших 31 октября парламентских выборах ЕНД набрала 35%, а «Грузинская мечта» миллиардера Бидзины Иванишвили — 30% голосов (по данным экзит-полла IPSOS-Франция), передает портал «Грузия Онлайн». «Мне не интересны такие должности, я отказался от должности премьер-министра Украины три раза, тем более меня не интересует должность премьер-министра Грузии. Но меня волнует то, что я не могу вернуться домой», — сказал Саакашвили. Он добавил, что созданное им ЕНД одержало победу во всех крупнейших городах Грузии. «Оппозиционный спектр одержал убедительную победу. Мы должны сформировать широкую коалицию оппозиционных сил, правительство национального единства, чтобы оппозиция смогла объединиться вокруг единой цели», — пояснил политик. По словам лидера другой оппозиционной партии — «Демократическое движение — Единая Грузия» Нино Бурджанадзе, пока рано говорить о том, изменится ли характер диалога Тбилиси с Москвой после победы ЕНД, передают «Известия». «Я даже не рассматриваю перспективу, что у ЕНД будет власть. Мы этого не допустим. Впрочем, радикальной воли что-то менять у этих партий просто нет. Понятно, что надо раз и навсегда разрубить гордиев узел и начать переговорный процесс, чтобы в первую очередь защищать грузинские интересы. Хотя для защиты наших интересов необходимо разговаривать по всем направлениям, в том числе вести прямой диалог с Россией, на это власть не решается», — пояснила политик. В период подготовки к выборам Саакашвили объявил, что не"
4,Для оформления электронного извещения о ДТП необходимо использовать мобильное приложение «Помощник ОСАГО». При этом россияне смогут получить электронное извещение о ДТП.,"Российские автомобилисты смогут с 1 ноября оформлять электронные извещения о ДТП вместо бумажных. Для этого необходимо использовать мобильное приложение, вызов сотрудников ГИБДД необязателен. Однако есть важные условия и нюансы.","Водители во всех регионах страны с воскресенья, 1 ноября, могут оформлять электронное извещение о дорожно-транспортном происшествии. Как сообщает ТАСС, для этого необходимо использовать мобильное приложение «Помощник ОСАГО». Вызов сотрудников ГИБДД на место аварии теперь необязателен, как и бумажное извещение о ДТП. Причем воспользоваться новой опцией могут не только физические, но и юридические лица. Электронное извещение равноценно «классическому» бумажному, но оформить его можно только при несерьезных ДТП. Во-первых, столкнуться должны не более двух автомобилей; во-вторых, не должно быть пострадавших; в-третьих — не должно быть причинено ущерба третьим лицам. У обоих водителей должен быть полис ОСАГО, они обязаны нарисовать схему происшествия и сделать фотографии. Эксперимент по электронному извещению о ДТП начался ровно год назад в Москве, Московской области, Санкт-Петербурге и Ленобласти, а также в Татарстане. По данным Российского союза автостраховщиков, данные электронного извещения будут автоматически попадать в базу данных РСА, благодаря чему все страховщики смогут урегулировать полученные убытки по европротоколу. В сентябре правительство РФ утвердило правила дистанционного оформления ДТП, однако тогда мобильное приложение еще не было готово. В РСА заявили, что продукт не успели запустить к назначенной дате из-за отсутствия необходимых нормативных документов, в числе которых было и постановление правительства. В сторону упрощения процедуры взаимодействия человека и закона направлена и новая редакция КоАП — россияне смогут аннулировать и гасить нарушения ПДД. «Если за нарушения, которые выявлены с помощью средств фото- и видеофиксации, лицо, привлеченное к ответственности, уплатило штраф, то оно считается не подвергнутым"
5,"Глава столицы Сергей Собянин заверил зрителей, что ситуация не будет ухудшаться. По словам градоначальника, на ситуацию влияют сторонние факторы — сезонный рост заболеваемости ОРВИ и гриппом.","Мэр Москвы Сергей Собянин заявил, что антикоронавирусные ограничения в столице показали свою эффективность. Благодаря удаленной работе, частичной самоизоляции и масочно-перчаточному режиму можно надеяться, что хуже уже не будет, добавил градоначальник.","«[Меры] показали свою эффективность и дают явную надежду, что ситуация не будет ухудшаться», — заявил мэр столицы Сергей Собянин в эфире телеканала «Россия-1». При этом градоначальник подчеркнул, что на ситуацию влияют сторонние факторы — сезонный рост заболеваемости ОРВИ и гриппом. Неясно, как «ляжет одно на другое», нужно просто пройти этот период. Собянин заверил зрителей, что резервные госпитали Москвы для коронавирусных пациентов будут работать в полном объеме — даже если загрузка больничных коек под «ковид» снизится. Он отметил, что сейчас в медучреждениях столицы находятся порядка 10 тысяч человек, тяжело переносящих коронавирусную инфекцию. Тремя днями ранее Собянин продлил до конца ноября требование о переводе на дистанционную работу не менее 30% сотрудников предприятий и фирм. До 29 ноября также продлевается «домашний режим» для людей из группы риска — пожилых и имеющих хронические заболевания. Продолжает действовать система регистрации (чекинов) на входе в работающие ночью заведения. Она позволяет быстро оповещать граждан о том, что они могли контактировать с носителями коронавируса. Подобную систему московские власти намерены внедрить и в подразделениях правительства столицы. «Необходимости вводить новые ограничения сегодня нет. Но в то же время и смягчение действующих ограничений является преждевременным, так как может привести к дестабилизации ситуации», — добавил Собянин. Послаблений в части масочно-перчаточного режима также ждать пока не приходится. Ранее начальник столичного Главконтроля Евгений Данчиков заявил, что в Москве за отсутствие масок и перчаток в магазинах, торговых и развлекательных центрах с начала осени оштрафовали более 12,5 тыс. человек, общая сумма штрафов составила свыше 50 млн рублей. «Осенью проводятся постоянные рейды"
6,"Покушения на президента США Гарри Трумэна, Джеральда Форда и Рональда Рейгана погибли четыре американских президента. Один из самых известных покушений в истории был Гарри Трумэн, Джеральда Форда и Рональда Рейгана.","1 ноября 1950 года было совершено покушение на президента США Гарри Трумэна. Знаменитая перестрелка произошла на лужайке у гостевого дома главы государства Блэр Хаус в Вашингтоне. Два пуэрториканских националиста вступили в бой с сотрудниками Секретной службы, намереваясь убить Трумэна в знак протеста против зависимого положения Пуэрто-Рико от США. Нападение окончилось неудачей, но повлияло на реорганизацию охраны президента. Кроме того, Трумэн согласился на проведение референдума по принятию конституции П","От рук убийц погибли четыре американских президента: Авраам Линкольн в 1865 году, Джеймс Гарфилд в 1881-м, Уильям Мак-Кинли в 1901-м и Джон Кеннеди в 1963-м. Покушения, известные широкому кругу, во второй половине XX века были совершены на жизнь Гарри Трумэна, Джеральда Форда и Рональда Рейгана, который получил тяжелое ранение. Попытки покушений предпринимались в отношении Билла Клинтона и Джорджа Буша-младшего. Особняком в этом ряду стоит атака на Трумэна, когда у временной резиденции президента Блэр Хаус разыгрался настоящий бой с применением стрелкового оружия. Не обошлось без жертв с обеих сторон. По сравнению с другими президентами США, Трумэн проводил более жесткую политику в отношениях с СССР. Сотрудничество между странами, начатое в рамках антигитлеровской коалиции при Франклине Рузвельте, оказалось невозможным. В период президентства Трумэна был создан блок НАТО. Именно он отдал приказ об атомной бомбардировке Хиросимы и Нагасаки. Противостоял распространению коммунизма в мире, выступил одним из инициаторов «холодной войны». 27 июня 1950-го Трумэн отдал приказ американским вооруженным силам принять участие в Корейской войне на стороне южан. Одновременно проводилась жесткая политика в отношении коммунистических организаций внутри США. При Трумэне создавались комитеты по расследованию антиамериканской деятельности. Но реальная угроза президенту пришла не от левых. Политика Трумэна в отношении национальных движений вызывала ответную реакцию. В прессе широко освещалось покушение на главу государства со стороны пуэрториканских националистов. 1 ноября 1950 года, в 14:00, 36-летний Оскар Кольясо и 25-летний Гриселио Торресола попытались прорваться в резиденцию Блэр Хаус, в которой президент временно находился из-за ремонта"
7,"Ученые назвали новое заболевание VEXAS. Оно не лечится и приводит к гибели 40% пациентов, выяснили американские ученые. Причина болезни — мутация гена UBA1, расположенного на Х-хромосоме.","Смертельное генетическое заболевание, поражающее мужчин, открыли ученые из США. Новая мутация приводит к системному воспалению в организме, образованию тромбов и поражению легких. Почти половина пациентов погибает — от болезни не помогают никакие известные лекарства.","Мужчины страдают от ранее неизвестного смертельного генетического заболевания, выяснили исследователи из национальных институтов здравоохранения США. Оно не лечится и приводит к гибели 40% пациентов. Посвященная этому статья была опубликована в журнале The New England Journal of Medicine. Ученые назвали новое заболевание VEXAS. Оно приводит к образованию тромбов в сосудах, повторяющимся лихорадкам, поражению легких и появлению полостей в миелоидных клетках (нейтрофилах, эозинофилах, базофилах, моноцитах). Причина заболевания — мутации гена UBA1, расположенного на Х-хромосоме. Этот ген отвечает за выработку белка убиквинтина, регулирующего процессы внутриклеточной деградации других белков и модификацию их функций. Мутации UBA1 ранее связали с одним из видов спинальной мышечной атрофии. Из двух копий гена UBA1 у пациентов одна оказалась мутантной. Так как у мужчин только одна Х-хромосома, эта мутация оказалась опасной для их здоровья. У женщин две Х-хромосомы, поэтому мутация одной из копий UBA1 вряд ли скажется на их здоровье настолько серьезно. Только в США от хронических воспалительных заболеваний страдают почти 125 млн человек. У многих таких заболеваний есть общие симптомы, что затрудняет постановку точного диагноза. Нередко болезнь остается недиагностированной. В поисках причин недиагностированных воспалительных заболеваний ученые рассмотрели геномы более 2500 человек с такими болезнями. Особое внимание они уделили генам, связанным с регуляцией белков и иммунной системой. Они впервые использовали секвенирование генома как способ диагностики неизвестного заболевания. Обычно сначала, изучая пациентов с похожими симптомами, обнаруживают неизвестную болезнь, а затем находят один или несколько ген"
8,"Сестра актера Михаила Ефремова Анастасия Ефремова рассказала, что из-за карантина в СИЗО она все еще не смогла добиться свидания с братом, но состоит в активной переписке.","На фоне новостей о том, что актер Михаил Ефремов после приговора суда остался в СИЗО, где угощал сокамерников фаршированным гусем, его сестра поделилась подробностями содержания артиста в следственном изоляторе. Кроме того, она рассказала, кто именно заказывает Ефремову ресторанную еду, а также сравнила дело брата с загадкой перевала Дятлова.","Сестра актера Михаила Ефремова Анастасия рассказала в интервью «Московскому Комсомольцу», что из-за карантина в СИЗО она все еще не смогла добиться свидания с братом, но состоит с ним «в активной переписке». «Пишу ему в мажорном ключе, передаю театральные сплетни, которые его очень интересуют. Его волнует судьба «Современника». Но больше всего брата тревожит судьба семьи и арестованные счета, к которым нет доступа. Все последнее время его жена Соня живет на свою зарплату. Хотя с голоду они, конечно, не умирают», — сообщила родственница. По ее словам, Ефремов отказывается от каких-либо передач, однако уже успел получить «кучу пьес», в том числе от режиссера и актера Ивана Охлобыстина и писательницы Людмилы Петрушевской. Анастасия Ефремова также поделилась своей радостью, связанной с решением оставить актера в СИЗО. «Когда после апелляции был вброс в интернете от очередной правозащитницы, что Мишу на следующей неделе этапируют в Красноярск. Как я тут инфаркт не словила, не знаю. Мозгами понимаю, что это незаконно, но я в судах достаточно нагляделась, что закон никому не писан и, в принципе, можно все», — сказала она. Кроме того, единокровная сестра артиста (у них общий отец — Олег Ефремов, но разные матери) заявила, что в тот момент «представила себе, что младшего брата отправят на лесоповал» — и она больше его не увидит. «Это была самая страшная ночь в моей жизни. Утром выяснилось, что Мишка остается в СИЗО и даже в Чувашию не поедет. Этот вариант тоже рассматривался, но уж очень далеко. Соня с тремя детьми как смогла бы навещать его?» — зада"
9,"В Китае оказалось, что люди, которые носят очки, заражаются COVID-19 в пять раз реже. По словам ученого, это наиболее распространенный симптом COVID-19, заявил доктор биологических наук Сергей Нетесов.","Люди в очках заражаются COVID-19 в пять раз реже, рассказал биолог Сергей Нетесов. Очки мешают вирусу попасть на слизистую глаз, что снижает риски заболеть. Также ученый напомнил, что важно носить маски и регулярно мыть руки.","Люди, которые носят очки, гораздо реже заражаются COVID-19, заявил на площадке форума OpenBio доктор биологических наук, заведующий лабораторией бионанотехнологии, микробиологии и вирусологии НГУ Сергей Нетесов. Об этом сообщает «Российская газета». «В Китае было проведено исследование: оказывается, люди, которые носят очки, заражаются COVID-19 в пять раз реже, — рассказал Нетесов. — В Китае это очень ярко проявляется, потому что там мало носят контактные линзы, зато многие люди с проблемами зрения носят очки, более 80%. Так вот, пациентов в очках оказалось очень мало, среди больных всего 10% носили очки». Также ученый напомнил о необходимости носить маски. Основные каналы заражения — нос и слизистая глаз, пояснил он. Поэтому человек, который носит маску, не закрывая носа, все равно что вообще ее не носит. Потеря обоняния в первую очередь говорит о том, что заражение произошло через нос, а этот один из наиболее распространенных симптомов COVID-19. «По поводу эффективности масок опубликована масса противоречивых утверждений, — отметил Нетесов. — И первые выводы одного из исследований действительно показали, что 85% зараженных носили маску постоянно либо часто. Однако половина из этих 85% заразились от членов своей семьи. Дома они, естественно, маски не носили». Особенно важно носить маски пожилым людям, подчеркнул Нетесов — среди них смертность от коронавируса наиболее высока. Летальность более чем в десять раз превышает этот показатель в случае гриппа, добавил он. Кроме того, маски необходимы, потому что носитель коронавируса часто не знает о том, что является переносчиком. «Зараженный человек выделяет вирус перед появлением первых симптомов. Он еще не чувствует, что болеет"
